KNOTE,BEZEI,CITY,REGIO
MA2102903,Carutapera - MA,Carutapera,MA
MA2103000,Caxias - MA,Caxias,MA
MA2103109,Cedral - MA,Cedral,MA
MA2103125,Central Do Maranhão - MA,Central Do Maranhão,MA
MA2103158,Centro Do Guilherme - MA,Centro Do Guilherme,MA
MA2103174,Centro Novo Do Maranhão - MA,Centro Novo Do Maranhão,MA
MA2103208,Chapadinha - MA,Chapadinha,MA
MA2103257,Cidelândia - MA,Cidelândia,MA
MA2103307,Codó - MA,Codó,MA
MA2103406,Coelho Neto - MA,Coelho Neto,MA
MA2103505,Colinas - MA,Colinas,MA
MA2103554,Conceição Do Lago-Açu - MA,Conceição Do Lago-Açu,MA
MA2103604,Coroatá - MA,Coroatá,MA
MA2103703,Cururupu - MA,Cururupu,MA
MA2103752,Davinópolis - MA,Davinópolis,MA
MA2103802,Dom Pedro - MA,Dom Pedro,MA
MA2103901,Duque Bacelar - MA,Duque Bacelar,MA
MA2104008,Esperantinópolis - MA,Esperantinópolis,MA
MA2104057,Estreito - MA,Estreito,MA
MA2104073,Feira Nova Do Maranhão - MA,Feira Nova Do Maranhão,MA
MA2104081,Fernando Falcão - MA,Fernando Falcão,MA
MA2104099,Formosa Da Serra Negra - MA,Formosa Da Serra Negra,MA
MA2104107,Fortaleza Dos Nogueiras - MA,Fortaleza Dos Nogueiras,MA
MA2104206,Fortuna - MA,Fortuna,MA
MA2104305,Godofredo Viana - MA,Godofredo Viana,MA
MA2104404,Gonçalves Dias - MA,Gonçalves Dias,MA
MA2104503,Governador Archer - MA,Governador Archer,MA
MA2104552,Governador Edison Lobão - MA,Governador Edison Lobão,MA
MA2104602,Governador Eugênio Barros - MA,Governador Eugênio Barros,MA
MA2104628,Governador Luiz Rocha - MA,Governador Luiz Rocha,MA
MA2104651,Governador Newton Bello - MA,Governador Newton Bello,MA
MA2104677,Governador Nunes Freire - MA,Governador Nunes Freire,MA
MA2104701,Graça Aranha - MA,Graça Aranha,MA
MA2104800,Grajaú - MA,Grajaú,MA
MA2104909,Guimarães - MA,Guimarães,MA
MA2105005,Humberto De Campos - MA,Humberto De Campos,MA
MA2105104,Icatu - MA,Icatu,MA
MA2105153,Igarapé Do Meio - MA,Igarapé Do Meio,MA
MA2105203,Igarapé Grande - MA,Igarapé Grande,MA
MA2105302,Imperatriz - MA,Imperatriz,MA
MA2105351,Itaipava Do Grajaú - MA,Itaipava Do Grajaú,MA
MA2105401,Itapecuru Mirim - MA,Itapecuru Mirim,MA
MA2105427,Itinga Do Maranhão - MA,Itinga Do Maranhão,MA
MA2105450,Jatobá - MA,Jatobá,MA
MA2105476,Jenipapo Dos Vieiras - MA,Jenipapo Dos Vieiras,MA
MA2105500,João Lisboa - MA,João Lisboa,MA
MA2105609,Joselândia - MA,Joselândia,MA
MA2105658,Junco Do Maranhão - MA,Junco Do Maranhão,MA
MA2105708,Lago Da Pedra - MA,Lago Da Pedra,MA
MA2105807,Lago Do Junco - MA,Lago Do Junco,MA
MA2105906,Lago Verde - MA,Lago Verde,MA
MA2105922,Lagoa Do Mato - MA,Lagoa Do Mato,MA
MA2105948,Lago Dos Rodrigues - MA,Lago Dos Rodrigues,MA
MA2105963,Lagoa Grande Do Maranhão - MA,Lagoa Grande Do Maranhão,MA
MA2105989,Lajeado Novo - MA,Lajeado Novo,MA
MA2106003,Lima Campos - MA,Lima Campos,MA
MA2106102,Loreto - MA,Loreto,MA
MA2106201,Luís Domingues - MA,Luís Domingues,MA
MA2106300,Magalhães De Almeida - MA,Magalhães De Almeida,MA
MA2106326,Maracaçumé - MA,Maracaçumé,MA
MA2106359,Marajá Do Sena - MA,Marajá Do Sena,MA
MA2106375,Maranhãozinho - MA,Maranhãozinho,MA
MA2106409,Mata Roma - MA,Mata Roma,MA
MA2106508,Matinha - MA,Matinha,MA
MA2106607,Matões - MA,Matões,MA
MA2106631,Matões Do Norte - MA,Matões Do Norte,MA
MA2106672,Milagres Do Maranhão - MA,Milagres Do Maranhão,MA
MA2106706,Mirador - MA,Mirador,MA
MA2106755,Miranda Do Norte - MA,Miranda Do Norte,MA
MA2106805,Mirinzal - MA,Mirinzal,MA
MA2106904,Monção - MA,Monção,MA
MA2107001,Montes Altos - MA,Montes Altos,MA
MA2107100,Morros - MA,Morros,MA
MA2107209,Nina Rodrigues - MA,Nina Rodrigues,MA
MA2107258,Nova Colinas - MA,Nova Colinas,MA
MA2107308,Nova Iorque - MA,Nova Iorque,MA
MA2107357,Nova Olinda Do Maranhão - MA,Nova Olinda Do Maranhão,MA
MA2107407,Olho D´Água Das Cunhãs - MA,Olho D´Água Das Cunhãs,MA
MA2107456,Olinda Nova Do Maranhão - MA,Olinda Nova Do Maranhão,MA
MA2107506,Paço Do Lumiar - MA,Paço Do Lumiar,MA
MA2107605,Palmeirândia - MA,Palmeirândia,MA
MA2107704,Paraibano - MA,Paraibano,MA
MA2107803,Parnarama - MA,Parnarama,MA
MA2107902,Passagem Franca - MA,Passagem Franca,MA
MA2108009,Pastos Bons - MA,Pastos Bons,MA
MA2108058,Paulino Neves - MA,Paulino Neves,MA
MA2108108,Paulo Ramos - MA,Paulo Ramos,MA
MA2108207,Pedreiras - MA,Pedreiras,MA
MA2108256,Pedro Do Rosário - MA,Pedro Do Rosário,MA
MA2108306,Penalva - MA,Penalva,MA
MA2108405,Peri Mirim - MA,Peri Mirim,MA
MA2108454,Peritoró - MA,Peritoró,MA
MA2108504,Pindaré-Mirim - MA,Pindaré-Mirim,MA
MA2108603,Pinheiro - MA,Pinheiro,MA
MA2108702,Pio Xii - MA,Pio Xii,MA
MA2108801,Pirapemas - MA,Pirapemas,MA
MA2108900,Poção De Pedras - MA,Poção De Pedras,MA
MA2109007,Porto Franco - MA,Porto Franco,MA
MA2109056,Porto Rico Do Maranhão - MA,Porto Rico Do Maranhão,MA
MA2109106,Presidente Dutra - MA,Presidente Dutra,MA
MA2109205,Presidente Juscelino - MA,Presidente Juscelino,MA
MA2109239,Presidente Médici - MA,Presidente Médici,MA
MA2109270,Presidente Sarney - MA,Presidente Sarney,MA
MA2109304,Presidente Vargas - MA,Presidente Vargas,MA
MA2109403,Primeira Cruz - MA,Primeira Cruz,MA
MA2109452,Raposa - MA,Raposa,MA
MA2109502,Riachão - MA,Riachão,MA
MA2109551,Ribamar Fiquene - MA,Ribamar Fiquene,MA
MA2109601,Rosário - MA,Rosário,MA
MA2109700,Sambaíba - MA,Sambaíba,MA
MA2109759,Santa Filomena Do Maranhão - MA,Santa Filomena Do Maranhão,MA
MA2109809,Santa Helena - MA,Santa Helena,MA
MA2109908,Santa Inês - MA,Santa Inês,MA
MA2110005,Santa Luzia - MA,Santa Luzia,MA
MA2110039,Santa Luzia Do Paruá - MA,Santa Luzia Do Paruá,MA
MA2110104,Santa Quitéria Do Maranhão - MA,Santa Quitéria Do Maranhão,MA
MA2110203,Santa Rita - MA,Santa Rita,MA
MA2110237,Santana Do Maranhão - MA,Santana Do Maranhão,MA
MA2110278,Santo Amaro Do Maranhão - MA,Santo Amaro Do Maranhão,MA
MA2110302,Santo Antônio Dos Lopes - MA,Santo Antônio Dos Lopes,MA
MA2110401,São Benedito Do Rio Preto - MA,São Benedito Do Rio Preto,MA
MA2110500,São Bento - MA,São Bento,MA
MA2110609,São Bernardo - MA,São Bernardo,MA
MA2110658,São Domingos Do Azeitão - MA,São Domingos Do Azeitão,MA
MA2110708,São Domingos Do Maranhão - MA,São Domingos Do Maranhão,MA
MA2110807,São Félix De Balsas - MA,São Félix De Balsas,MA
MA2110856,São Francisco Do Brejão - MA,São Francisco Do Brejão,MA
MA2110906,São Francisco Do Maranhão - MA,São Francisco Do Maranhão,MA
MA2111003,São João Batista - MA,São João Batista,MA
MA2111029,São João Do Carú - MA,São João Do Carú,MA
MA2111052,São João Do Paraíso - MA,São João Do Paraíso,MA
MA2111078,São João Do Soter - MA,São João Do Soter,MA
MA2111102,São João Dos Patos - MA,São João Dos Patos,MA
MA2111201,São José De Ribamar - MA,São José De Ribamar,MA
MA2111250,São José Dos Basílios - MA,São José Dos Basílios,MA
MA2111300,São Luís - MA,São Luís,MA
MA2111409,São Luís Gonzaga Do Maranhão - MA,São Luís Gonzaga Do Maranhão,MA
MA2111508,São Mateus Do Maranhão - MA,São Mateus Do Maranhão,MA
MA2111532,São Pedro Da Água Branca - MA,São Pedro Da Água Branca,MA
MA2111573,São Pedro Dos Crentes - MA,São Pedro Dos Crentes,MA
MA2111607,São Raimundo Das Mangabeiras - MA,São Raimundo Das Mangabeiras,MA
MA2111631,São Raimundo Do Doca Bezerra - MA,São Raimundo Do Doca Bezerra,MA
MA2111672,São Roberto - MA,São Roberto,MA
MA2111706,São Vicente Ferrer - MA,São Vicente Ferrer,MA
MA2111722,Satubinha - MA,Satubinha,MA
MA2111748,Senador Alexandre Costa - MA,Senador Alexandre Costa,MA
MA2111763,Senador La Rocque - MA,Senador La Rocque,MA
MA2111789,Serrano Do Maranhão - MA,Serrano Do Maranhão,MA
MA2111805,Sítio Novo - MA,Sítio Novo,MA
MA2111904,Sucupira Do Norte - MA,Sucupira Do Norte,MA
MA2111953,Sucupira Do Riachão - MA,Sucupira Do Riachão,MA
MA2112001,Tasso Fragoso - MA,Tasso Fragoso,MA
MA2112100,Timbiras - MA,Timbiras,MA
MA2112209,Timon - MA,Timon,MA
MA2112233,Trizidela Do Vale - MA,Trizidela Do Vale,MA
MA2112274,Tufilândia - MA,Tufilândia,MA
MA2112308,Tuntum - MA,Tuntum,MA
MA2112407,Turiaçu - MA,Turiaçu,MA
MA2112456,Turilândia - MA,Turilândia,MA
MA2112506,Tutóia - MA,Tutóia,MA
MA2112605,Urbano Santos - MA,Urbano Santos,MA
MA2112704,Vargem Grande - MA,Vargem Grande,MA
MA2112803,Viana - MA,Viana,MA
MA2112852,Vila Nova Dos Martírios - MA,Vila Nova Dos Martírios,MA
MA2112902,Vitória Do Mearim - MA,Vitória Do Mearim,MA
MA2113009,Vitorino Freire - MA,Vitorino Freire,MA
MA2114007,Zé Doca - MA,Zé Doca,MA
MG3100104,Abadia Dos Dourados - MG,Abadia Dos Dourados,MG
MG3100203,Abaeté - MG,Abaeté,MG
MG3100302,Abre Campo - MG,Abre Campo,MG
MG3100401,Acaiaca - MG,Acaiaca,MG
MG3100500,Açucena - MG,Açucena,MG
MG3100609,Água Boa - MG,Água Boa,MG
MG3100708,Água Comprida - MG,Água Comprida,MG
MG3100807,Aguanil - MG,Aguanil,MG
MG3100906,Águas Formosas - MG,Águas Formosas,MG
MG3101003,Águas Vermelhas - MG,Águas Vermelhas,MG
MG3101102,Aimorés - MG,Aimorés,MG
MG3101201,Aiuruoca - MG,Aiuruoca,MG
MG3101300,Alagoa - MG,Alagoa,MG
MG3101409,Albertina - MG,Albertina,MG
MG3101508,Além Paraíba - MG,Além Paraíba,MG
MG3101607,Alfenas - MG,Alfenas,MG
MG3101631,Alfredo Vasconcelos - MG,Alfredo Vasconcelos,MG
MG3101706,Almenara - MG,Almenara,MG
MG3101805,Alpercata - MG,Alpercata,MG
MG3101904,Alpinópolis - MG,Alpinópolis,MG
MG3102001,Alterosa - MG,Alterosa,MG
MG3102050,Alto Caparaó - MG,Alto Caparaó,MG
MG3102100,Alto Rio Doce - MG,Alto Rio Doce,MG
MG3102209,Alvarenga - MG,Alvarenga,MG
MG3102308,Alvinópolis - MG,Alvinópolis,MG
MG3102407,Alvorada De Minas - MG,Alvorada De Minas,MG
MG3102506,Amparo Do Serra - MG,Amparo Do Serra,MG
MG3102605,Andradas - MG,Andradas,MG
MG3102704,Cachoeira De Pajeú - MG,Cachoeira De Pajeú,MG
MG3102803,Andrelândia - MG,Andrelândia,MG
MG3102852,Angelândia - MG,Angelândia,MG
MG3102902,Antônio Carlos - MG,Antônio Carlos,MG
MG3103009,Antônio Dias - MG,Antônio Dias,MG
MG3103108,Antônio Prado De Minas - MG,Antônio Prado De Minas,MG
MG3103207,Araçaí - MG,Araçaí,MG
MG3103306,Aracitaba - MG,Aracitaba,MG
MG3103405,Araçuaí - MG,Araçuaí,MG
MG3103504,Araguari - MG,Araguari,MG
MG3103603,Arantina - MG,Arantina,MG
MG3103702,Araponga - MG,Araponga,MG
MG3103751,Araporã - MG,Araporã,MG
MG3103801,Arapuá - MG,Arapuá,MG
MG3103900,Araújos - MG,Araújos,MG
MG3104007,Araxá - MG,Araxá,MG
MG3104106,Arceburgo - MG,Arceburgo,MG
MG3104205,Arcos - MG,Arcos,MG
MG3104304,Areado - MG,Areado,MG
MG3104403,Argirita - MG,Argirita,MG
MG3104452,Aricanduva - MG,Aricanduva,MG
MG3104502,Arinos - MG,Arinos,MG
MG3104601,Astolfo Dutra - MG,Astolfo Dutra,MG
MG3104700,Ataléia - MG,Ataléia,MG
MG3104809,Augusto De Lima - MG,Augusto De Lima,MG
MG3104908,Baependi - MG,Baependi,MG
MG3105004,Baldim - MG,Baldim,MG
MG3105103,Bambuí - MG,Bambuí,MG
MG3105202,Bandeira - MG,Bandeira,MG
MG3105301,Bandeira Do Sul - MG,Bandeira Do Sul,MG
MG3105400,Barão De Cocais - MG,Barão De Cocais,MG
MG3105509,Barão De Monte Alto - MG,Barão De Monte Alto,MG
MG3105608,Barbacena - MG,Barbacena,MG
MG3105707,Barra Longa - MG,Barra Longa,MG
MG3105905,Barroso - MG,Barroso,MG
MG3106002,Bela Vista De Minas - MG,Bela Vista De Minas,MG
MG3106101,Belmiro Braga - MG,Belmiro Braga,MG
MG3106200,Belo Horizonte - MG,Belo Horizonte,MG
MG3106309,Belo Oriente - MG,Belo Oriente,MG
MG3106408,Belo Vale - MG,Belo Vale,MG
MG3106507,Berilo - MG,Berilo,MG
MG3106606,Bertópolis - MG,Bertópolis,MG
MG3106655,Berizal - MG,Berizal,MG
MG3106705,Betim - MG,Betim,MG
MG3106804,Bias Fortes - MG,Bias Fortes,MG
MG3106903,Bicas - MG,Bicas,MG
MG3107000,Biquinhas - MG,Biquinhas,MG
MG3107109,Boa Esperança - MG,Boa Esperança,MG
MG3107208,Bocaina De Minas - MG,Bocaina De Minas,MG
MG3107307,Bocaiúva - MG,Bocaiúva,MG
MG3107406,Bom Despacho - MG,Bom Despacho,MG
MG3107505,Bom Jardim De Minas - MG,Bom Jardim De Minas,MG
MG3107604,Bom Jesus Da Penha - MG,Bom Jesus Da Penha,MG
MG3107703,Bom Jesus Do Amparo - MG,Bom Jesus Do Amparo,MG
MG3107802,Bom Jesus Do Galho - MG,Bom Jesus Do Galho,MG
MG3107901,Bom Repouso - MG,Bom Repouso,MG
MG3108008,Bom Sucesso - MG,Bom Sucesso,MG
MG3108107,Bonfim - MG,Bonfim,MG
MG3108206,Bonfinópolis De Minas - MG,Bonfinópolis De Minas,MG
MG3108255,Bonito De Minas - MG,Bonito De Minas,MG
MG3108305,Borda Da Mata - MG,Borda Da Mata,MG
MG3108404,Botelhos - MG,Botelhos,MG
MG3108503,Botumirim - MG,Botumirim,MG
MG3108552,Brasilândia De Minas - MG,Brasilândia De Minas,MG
MG3108602,Brasília De Minas - MG,Brasília De Minas,MG
MG3108701,Brás Pires - MG,Brás Pires,MG
MG3108800,Braúnas - MG,Braúnas,MG
MG3108909,Brasópolis - MG,Brasópolis,MG
MG3109006,Brumadinho - MG,Brumadinho,MG
MG3109105,Bueno Brandão - MG,Bueno Brandão,MG
MG3109204,Buenópolis - MG,Buenópolis,MG
MG3109253,Bugre - MG,Bugre,MG
MG3109303,Buritis - MG,Buritis,MG
MG3109402,Buritizeiro - MG,Buritizeiro,MG
MG3109451,Cabeceira Grande - MG,Cabeceira Grande,MG
MG3109501,Cabo Verde - MG,Cabo Verde,MG
MG3109600,Cachoeira Da Prata - MG,Cachoeira Da Prata,MG
MG3109709,Cachoeira De Minas - MG,Cachoeira De Minas,MG
MG3109808,Cachoeira Dourada - MG,Cachoeira Dourada,MG
MG3109907,Caetanópolis - MG,Caetanópolis,MG
MG3110004,Caeté - MG,Caeté,MG
MG3110103,Caiana - MG,Caiana,MG
MG3110202,Cajuri - MG,Cajuri,MG
MG3110301,Caldas - MG,Caldas,MG
MG3110400,Camacho - MG,Camacho,MG
MG3110509,Camanducaia - MG,Camanducaia,MG
MG3110608,Cambuí - MG,Cambuí,MG
MG3110707,Cambuquira - MG,Cambuquira,MG
MG3110806,Campanário - MG,Campanário,MG
MG3110905,Campanha - MG,Campanha,MG
MG3111002,Campestre - MG,Campestre,MG
MG3111101,Campina Verde - MG,Campina Verde,MG
MG3111150,Campo Azul - MG,Campo Azul,MG
MG3111200,Campo Belo - MG,Campo Belo,MG
MG3111309,Campo Do Meio - MG,Campo Do Meio,MG
MG3111408,Campo Florido - MG,Campo Florido,MG
MG3111507,Campos Altos - MG,Campos Altos,MG
MG3111606,Campos Gerais - MG,Campos Gerais,MG
MG3111705,Canaã - MG,Canaã,MG
MG3111804,Canápolis - MG,Canápolis,MG
MG3111903,Cana Verde - MG,Cana Verde,MG
MG3112000,Candeias - MG,Candeias,MG
MG3112059,Cantagalo - MG,Cantagalo,MG
MG3112109,Caparaó - MG,Caparaó,MG
MG3112208,Capela Nova - MG,Capela Nova,MG
MG3112307,Capelinha - MG,Capelinha,MG
MG3112406,Capetinga - MG,Capetinga,MG
MG3112505,Capim Branco - MG,Capim Branco,MG
MG3112604,Capinópolis - MG,Capinópolis,MG
MG3112653,Capitão Andrade - MG,Capitão Andrade,MG
MG3112703,Capitão Enéas - MG,Capitão Enéas,MG
MG3112802,Capitólio - MG,Capitólio,MG
MG3112901,Caputira - MG,Caputira,MG
MG3113008,Caraí - MG,Caraí,MG
MG3113107,Caranaíba - MG,Caranaíba,MG
MG3113206,Carandaí - MG,Carandaí,MG
MG3113305,Carangola - MG,Carangola,MG
MG3113404,Caratinga - MG,Caratinga,MG
MG3113503,Carbonita - MG,Carbonita,MG
MG3113602,Careaçu - MG,Careaçu,MG
MG3113701,Carlos Chagas - MG,Carlos Chagas,MG
MG3113800,Carmésia - MG,Carmésia,MG
MG3113909,Carmo Da Cachoeira - MG,Carmo Da Cachoeira,MG
MG3114006,Carmo Da Mata - MG,Carmo Da Mata,MG
MG3114105,Carmo De Minas - MG,Carmo De Minas,MG
MG3114204,Carmo Do Cajuru - MG,Carmo Do Cajuru,MG
MG3114303,Carmo Do Paranaíba - MG,Carmo Do Paranaíba,MG
MG3114402,Carmo Do Rio Claro - MG,Carmo Do Rio Claro,MG
MG3114501,Carmópolis De Minas - MG,Carmópolis De Minas,MG
MG3114550,Carneirinho - MG,Carneirinho,MG
MG3114600,Carrancas - MG,Carrancas,MG
MG3114709,Carvalhópolis - MG,Carvalhópolis,MG
MG3114808,Carvalhos - MG,Carvalhos,MG
MG3114907,Casa Grande - MG,Casa Grande,MG
MG3115003,Cascalho Rico - MG,Cascalho Rico,MG
MG3115102,Cássia - MG,Cássia,MG
MG3115201,Conceição Da Barra De Minas - MG,Conceição Da Barra De Minas,MG
MG3115300,Cataguases - MG,Cataguases,MG
MG3115359,Catas Altas - MG,Catas Altas,MG
MG3115409,Catas Altas Da Noruega - MG,Catas Altas Da Noruega,MG
MG3115458,Catuji - MG,Catuji,MG
MG3115474,Catuti - MG,Catuti,MG
MG3115508,Caxambu - MG,Caxambu,MG
MG3115607,Cedro Do Abaeté - MG,Cedro Do Abaeté,MG
MG3115706,Central De Minas - MG,Central De Minas,MG
MG3115805,Centralina - MG,Centralina,MG
MG3115904,Chácara - MG,Chácara,MG
MG3116001,Chalé - MG,Chalé,MG
MG3116100,Chapada Do Norte - MG,Chapada Do Norte,MG
MG3116159,Chapada Gaúcha - MG,Chapada Gaúcha,MG
MG3116209,Chiador - MG,Chiador,MG
MG3116308,Cipotânea - MG,Cipotânea,MG
MG3116407,Claraval - MG,Claraval,MG
MG3116506,Claro Dos Poções - MG,Claro Dos Poções,MG
MG3116605,Cláudio - MG,Cláudio,MG
MG3116704,Coimbra - MG,Coimbra,MG
MG3116803,Coluna - MG,Coluna,MG
MG3116902,Comendador Gomes - MG,Comendador Gomes,MG
MG3117009,Comercinho - MG,Comercinho,MG
MG3117108,Conceição Da Aparecida - MG,Conceição Da Aparecida,MG
MG3117207,Conceição Das Pedras - MG,Conceição Das Pedras,MG
MG3117306,Conceição Das Alagoas - MG,Conceição Das Alagoas,MG
MG3117405,Conceição De Ipanema - MG,Conceição De Ipanema,MG
MG3117504,Conceição Do Mato Dentro - MG,Conceição Do Mato Dentro,MG
MG3117603,Conceição Do Pará - MG,Conceição Do Pará,MG
MG3117702,Conceição Do Rio Verde - MG,Conceição Do Rio Verde,MG
MG3117801,Conceição Dos Ouros - MG,Conceição Dos Ouros,MG
MG3117836,Cônego Marinho - MG,Cônego Marinho,MG
MG3117876,Confins - MG,Confins,MG
MG3117900,Congonhal - MG,Congonhal,MG
MG3118007,Congonhas - MG,Congonhas,MG
MG3118106,Congonhas Do Norte - MG,Congonhas Do Norte,MG
MG3118205,Conquista - MG,Conquista,MG
MG3118304,Conselheiro Lafaiete - MG,Conselheiro Lafaiete,MG
MG3118403,Conselheiro Pena - MG,Conselheiro Pena,MG
MG3118502,Consolação - MG,Consolação,MG
MG3118601,Contagem - MG,Contagem,MG
MG3118700,Coqueiral - MG,Coqueiral,MG
MG3118809,Coração De Jesus - MG,Coração De Jesus,MG
MG3118908,Cordisburgo - MG,Cordisburgo,MG
MG3119005,Cordislândia - MG,Cordislândia,MG
MG3119104,Corinto - MG,Corinto,MG
MG3119203,Coroaci - MG,Coroaci,MG
MG3119302,Coromandel - MG,Coromandel,MG
MG3119401,Coronel Fabriciano - MG,Coronel Fabriciano,MG
MG3119500,Coronel Murta - MG,Coronel Murta,MG
MG3119609,Coronel Pacheco - MG,Coronel Pacheco,MG
MG3119708,Coronel Xavier Chaves - MG,Coronel Xavier Chaves,MG
MG3119807,Córrego Danta - MG,Córrego Danta,MG
MG3119906,Córrego Do Bom Jesus - MG,Córrego Do Bom Jesus,MG
MG3119955,Córrego Fundo - MG,Córrego Fundo,MG
MG3120003,Córrego Novo - MG,Córrego Novo,MG
MG3120102,Couto De Magalhães De Minas - MG,Couto De Magalhães De Minas,MG
MG3120151,Crisólita - MG,Crisólita,MG
MG3120201,Cristais - MG,Cristais,MG
MG3120300,Cristália - MG,Cristália,MG
MG3120409,Cristiano Otoni - MG,Cristiano Otoni,MG
MG3120508,Cristina - MG,Cristina,MG
MG3120607,Crucilândia - MG,Crucilândia,MG
MG3120706,Cruzeiro Da Fortaleza - MG,Cruzeiro Da Fortaleza,MG
MG3120805,Cruzília - MG,Cruzília,MG
MG3120839,Cuparaque - MG,Cuparaque,MG
MG3120870,Curral De Dentro - MG,Curral De Dentro,MG
MG3120904,Curvelo - MG,Curvelo,MG
MG3121001,Datas - MG,Datas,MG
MG3121100,Delfim Moreira - MG,Delfim Moreira,MG
MG3121209,Delfinópolis - MG,Delfinópolis,MG
MG3121258,Delta - MG,Delta,MG
MG3121308,Descoberto - MG,Descoberto,MG
MG3121407,Desterro De Entre Rios - MG,Desterro De Entre Rios,MG
MG3121506,Desterro Do Melo - MG,Desterro Do Melo,MG
MG3121605,Diamantina - MG,Diamantina,MG
MG3121704,Diogo De Vasconcelos - MG,Diogo De Vasconcelos,MG
MG3121803,Dionísio - MG,Dionísio,MG
MG3121902,Divinésia - MG,Divinésia,MG
MG3122009,Divino - MG,Divino,MG
MG3122108,Divino Das Laranjeiras - MG,Divino Das Laranjeiras,MG
MG3122207,Divinolândia De Minas - MG,Divinolândia De Minas,MG
MG3122306,Divinópolis - MG,Divinópolis,MG
MG3122355,Divisa Alegre - MG,Divisa Alegre,MG
MG3122405,Divisa Nova - MG,Divisa Nova,MG
MG3122454,Divisópolis - MG,Divisópolis,MG
MG3122470,Dom Bosco - MG,Dom Bosco,MG
MG3122504,Dom Cavati - MG,Dom Cavati,MG
MG3122603,Dom Joaquim - MG,Dom Joaquim,MG
MG3122702,Dom Silvério - MG,Dom Silvério,MG
MG3122801,Dom Viçoso - MG,Dom Viçoso,MG
MG3122900,Dona Eusébia - MG,Dona Eusébia,MG
MG3123007,Dores De Campos - MG,Dores De Campos,MG
MG3123106,Dores De Guanhães - MG,Dores De Guanhães,MG
MG3123205,Dores Do Indaiá - MG,Dores Do Indaiá,MG
MG3123304,Dores Do Turvo - MG,Dores Do Turvo,MG
MG3123403,Doresópolis - MG,Doresópolis,MG
MG3123502,Douradoquara - MG,Douradoquara,MG
MG3123528,Durandé - MG,Durandé,MG
MG3123601,Elói Mendes - MG,Elói Mendes,MG
MG3123700,Engenheiro Caldas - MG,Engenheiro Caldas,MG
MG3123809,Engenheiro Navarro - MG,Engenheiro Navarro,MG
MG3123858,Entre Folhas - MG,Entre Folhas,MG
MG3123908,Entre Rios De Minas - MG,Entre Rios De Minas,MG
MG3124005,Ervália - MG,Ervália,MG
MG3124104,Esmeraldas - MG,Esmeraldas,MG
MG3124203,Espera Feliz - MG,Espera Feliz,MG
MG3124302,Espinosa - MG,Espinosa,MG
MG3124401,Espírito Santo Do Dourado - MG,Espírito Santo Do Dourado,MG
MG3124500,Estiva - MG,Estiva,MG
MG3124609,Estrela Dalva - MG,Estrela Dalva,MG
MG3124708,Estrela Do Indaiá - MG,Estrela Do Indaiá,MG
MG3124807,Estrela Do Sul - MG,Estrela Do Sul,MG
MG3124906,Eugenópolis - MG,Eugenópolis,MG
MG3125002,Ewbank Da Câmara - MG,Ewbank Da Câmara,MG
MG3125101,Extrema - MG,Extrema,MG
MG3125200,Fama - MG,Fama,MG
MG3125309,Faria Lemos - MG,Faria Lemos,MG
MG3125408,Felício Dos Santos - MG,Felício Dos Santos,MG
MG3125507,São Gonçalo Do Rio Preto - MG,São Gonçalo Do Rio Preto,MG
MG3125606,Felisburgo - MG,Felisburgo,MG
MG3125705,Felixlândia - MG,Felixlândia,MG
MG3125804,Fernandes Tourinho - MG,Fernandes Tourinho,MG
MG3125903,Ferros - MG,Ferros,MG
MG3125952,Fervedouro - MG,Fervedouro,MG
MG3126000,Florestal - MG,Florestal,MG
MG3126109,Formiga - MG,Formiga,MG
MG3126208,Formoso - MG,Formoso,MG
MG3126307,Fortaleza De Minas - MG,Fortaleza De Minas,MG
MG3126406,Fortuna De Minas - MG,Fortuna De Minas,MG
MG3126505,Francisco Badaró - MG,Francisco Badaró,MG
MG3126604,Francisco Dumont - MG,Francisco Dumont,MG
MG3126703,Francisco Sá - MG,Francisco Sá,MG
MG3126752,Franciscópolis - MG,Franciscópolis,MG
MG3126802,Frei Gaspar - MG,Frei Gaspar,MG
MG3126901,Frei Inocêncio - MG,Frei Inocêncio,MG
MG3126950,Frei Lagonegro - MG,Frei Lagonegro,MG
MG3127008,Fronteira - MG,Fronteira,MG
MG3127057,Fronteira Dos Vales - MG,Fronteira Dos Vales,MG
MG3127073,Fruta De Leite - MG,Fruta De Leite,MG
MG3127107,Frutal - MG,Frutal,MG
MG3127206,Funilândia - MG,Funilândia,MG
MG3127305,Galiléia - MG,Galiléia,MG
MG3127339,Gameleiras - MG,Gameleiras,MG
MG3127354,Glaucilândia - MG,Glaucilândia,MG
MG3127370,Goiabeira - MG,Goiabeira,MG
MG3127388,Goianá - MG,Goianá,MG
MG3127404,Gonçalves - MG,Gonçalves,MG
MG3127503,Gonzaga - MG,Gonzaga,MG
MG3127602,Gouveia - MG,Gouveia,MG
MG3127701,Governador Valadares - MG,Governador Valadares,MG
MG3127800,Grão Mogol - MG,Grão Mogol,MG
MG3127909,Grupiara - MG,Grupiara,MG
MG3128006,Guanhães - MG,Guanhães,MG
MG3128105,Guapé - MG,Guapé,MG
MG3128204,Guaraciaba - MG,Guaraciaba,MG
MG3128253,Guaraciama - MG,Guaraciama,MG
MG3128303,Guaranésia - MG,Guaranésia,MG
MG3128402,Guarani - MG,Guarani,MG
